"date","city","SO2","CO","NO2","O3","PM10","SO2_d1_rate","SO2_d2_rate","SO2_d3_rate","SO2_d4_rate","CO_d1_rate","CO_d2_rate","CO_d3_rate","CO_d4_rate","O3_d1_rate","O3_d2_rate","O3_d3_rate","O3_d4_rate","NO2_d1_rate","NO2_d2_rate","NO2_d3_rate","NO2_d4_rate","PM10_d1_rate","PM10_d2_rate","PM10_d3_rate","PM10_d4_rate","temp","temp_range","rain","ws_mean","ws_max","ws_mont_max","dew_point_temp","humidity","air_press","sunshn_time","snow","cloud_amt","surface_temp"
"2010-01-22","서울",0.005,0.4,0.024,0.017,40,0.2,-0.4,-1,-0.8,-0.25,-3.25,-2,-2.25,0,0.882352941176471,0.823529411764706,0.882352941176471,-0.0416666666666667,-1.875,-1.83333333333333,-1.95833333333333,-0.025,-0.525,-1.2,-0.875,-7,6.2,0,3.5,5.6,9.8,-16.6,47.3,1017.3,8,0,0.6,-2.9
"2010-01-23","서울",0.007,0.5,0.035,0.012,48,0.285714285714286,0.428571428571429,0,-0.428571428571429,0.2,0,-2.4,-1.4,-0.416666666666667,-0.416666666666667,0.833333333333333,0.75,0.314285714285714,0.285714285714286,-0.971428571428571,-0.942857142857143,0.166666666666667,0.145833333333333,-0.270833333333333,-0.833333333333333,-5.3,8.2,0,2.1,4.2,7,-15.4,46.4,1015.7,9.2,0,1.1,-3.5
"2010-01-24","서울",0.009,0.7,0.046,0.006,55,0.222222222222222,0.444444444444444,0.555555555555555,0.222222222222222,0.285714285714286,0.428571428571428,0.285714285714286,-1.42857142857143,-1,-1.83333333333333,-1.83333333333333,0.666666666666667,0.239130434782609,0.478260869565217,0.456521739130435,-0.5,0.127272727272727,0.272727272727273,0.254545454545455,-0.109090909090909,0.3,8.3,0,2.9,6.8,10.5,-5.3,66.6,1011.5,5.5,0,5.9,-0.7
"2010-01-25","서울",0.007,0.6,0.031,0.014,105,-0.285714285714286,0,0.285714285714286,0.428571428571429,-0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.571428571428571,0.142857142857143,-0.214285714285714,-0.214285714285714,-0.483870967741935,-0.129032258064516,0.225806451612903,0.193548387096774,0.476190476190476,0.542857142857143,0.619047619047619,0.60952380952381,-3,11.1,0,3.6,6.6,11.5,-11.8,52.4,1013.8,8.4,0,1.3,-0.6
"2010-01-26","서울",0.007,0.7,0.046,0.008,57,0,-0.285714285714286,0,0.285714285714286,0.142857142857143,0,0.285714285714286,0.428571428571428,-0.75,0.25,-0.5,-1.125,0.326086956521739,0,0.239130434782609,0.478260869565217,-0.842105263157895,0.0350877192982456,0.157894736842105,0.298245614035088,-4.1,10.6,0,1.9,4.9,7.6,-12.7,53.1,1020,8.7,0,0.6,-2.7
"2010-01-27","서울",0.006,1,0.056,0.002,53,-0.166666666666667,-0.166666666666667,-0.5,-0.166666666666667,0.3,0.4,0.3,0.5,-3,-6,-2,-5,0.178571428571429,0.446428571428571,0.178571428571429,0.375,-0.0754716981132075,-0.981132075471698,-0.0377358490566038,0.0943396226415094,-0.2,7.1,2.5,2.1,3.5,6.2,-5.2,72.6,1007.7,3.2,0.4,7.8,-1.3
"2010-01-28","서울",0.006,0.6,0.036,0.009,51,0,-0.166666666666667,-0.166666666666667,-0.5,-0.666666666666667,-0.166666666666667,0,-0.166666666666667,0.777777777777778,0.111111111111111,-0.555555555555556,0.333333333333333,-0.555555555555556,-0.277777777777778,0.138888888888889,-0.277777777777778,-0.0392156862745098,-0.117647058823529,-1.05882352941176,-0.0784313725490196,-0.4,7.7,0,3.6,6,10.5,-6,68.1,1008.9,6.6,0,3.4,0.5
"2010-01-29","서울",0.006,0.6,0.04,0.01,46,0,0,-0.166666666666667,-0.166666666666667,0,-0.666666666666667,-0.166666666666667,0,0.1,0.8,0.2,-0.4,0.1,-0.4,-0.15,0.225,-0.108695652173913,-0.152173913043478,-0.239130434782609,-1.28260869565217,-2.1,8.7,0,2.7,6.1,10.6,-10,55.1,1012.6,4.1,0,4.9,-0.9
"2010-01-30","서울",0.01,0.8,0.052,0.004,78,0.4,0.4,0.4,0.3,0.25,0.25,-0.25,0.125,-1.5,-1.25,0.5,-1,0.230769230769231,0.307692307692308,-0.076923076923077,0.115384615384615,0.41025641025641,0.346153846153846,0.320512820512821,0.269230769230769,1.5,6.7,0,2,4.6,7,-4.1,67.4,1011.7,2,0,4,-0.3
"2010-01-31","서울",0.009,1.2,0.059,0.002,101.5,-0.111111111111111,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.166666666666667,-1,-4,-3.5,0,0.11864406779661,0.322033898305085,0.389830508474576,0.0508474576271186,0.231527093596059,0.54679802955665,0.497536945812808,0.477832512315271,1.8,4.8,0,1.3,2.2,3.5,-1,82.4,1010.2,0,0,5.3,0.2
